transaction_date,product_id,quantity_sold,total_sales,store_location
1/1/2024,101,10,214.87,Store B
1/2/2024,105,2,38.8,Store B
1/3/2024,103,11,187.6,Store D
1/4/2024,101,5,92.97,Store D
1/5/2024,101,15,248.61,Store C
1/6/2024,101,3,57.4,Store A
1/7/2024,103,3,52.16,Store A
1/8/2024,103,13,249.3,Store A
1/9/2024,104,4,60.54,Store C
1/10/2024,104,15,309.13,Store A
1/11/2024,101,5,104.46,Store B
1/12/2024,103,7,139.28,Store A
1/13/2024,102,2,38.13,Store C
1/14/2024,103,12,242.88,Store A
1/15/2024,101,9,219.72,Store A
1/16/2024,103,9,146.31,Store B
1/17/2024,103,1,23.95,Store B
1/18/2024,101,11,237.5,Store B
1/19/2024,101,11,194.17,Store B
1/20/2024,105,12,259.66,Store A
1/21/2024,104,12,241.1,Store C
1/22/2024,104,1,18.86,Store A
1/23/2024,102,8,135.68,Store A
1/24/2024,101,2,42.53,Store C
1/25/2024,105,6,98.98,Store A
1/26/2024,101,2,30.81,Store B
1/27/2024,101,4,91.88,Store D
1/28/2024,102,13,236.9,Store C
1/29/2024,105,9,171.91,Store C
1/30/2024,103,14,311.61,Store A
1/31/2024,105,11,193.65,Store C
2/1/2024,102,11,262.66,Store D
2/2/2024,103,5,85.56,Store D
2/3/2024,105,4,74.18,Store A
2/4/2024,101,12,269.17,Store D
2/5/2024,104,15,298.61,Store C
2/6/2024,101,11,166.14,Store C
2/7/2024,101,5,95.09,Store A
2/8/2024,104,7,142.48,Store C
2/9/2024,101,12,293.71,Store B
2/10/2024,104,13,294.68,Store C
2/11/2024,105,10,153.96,Store B
2/12/2024,102,5,80.36,Store D
2/13/2024,103,11,249.4,Store D
2/14/2024,103,1,23.82,Store C
2/15/2024,104,1,24.56,Store C
2/16/2024,103,13,263.28,Store D
2/17/2024,102,7,106.67,Store B
2/18/2024,105,5,79.35,Store A
2/19/2024,104,13,239.26,Store D
2/20/2024,104,12,227.04,Store B
2/21/2024,104,7,123.76,Store C
2/22/2024,103,13,196.33,Store C
2/23/2024,104,12,246.95,Store C
2/24/2024,102,7,121.18,Store B
2/25/2024,104,2,44.68,Store A
2/26/2024,101,7,168.56,Store A
2/27/2024,102,12,273.95,Store C
2/28/2024,103,14,283.25,Store C
2/29/2024,103,8,157.58,Store A
3/1/2024,102,2,45.37,Store C
3/2/2024,104,15,366.21,Store B
3/3/2024,105,11,250.07,Store A
3/4/2024,102,3,68.14,Store D
3/5/2024,103,3,59.18,Store A
3/6/2024,105,2,31.71,Store C
3/7/2024,104,9,186,Store A
3/8/2024,104,1,24.97,Store B
3/9/2024,102,11,184.64,Store C
3/10/2024,104,11,261.92,Store C
3/11/2024,102,8,181.7,Store D
3/12/2024,103,11,195.26,Store A
3/13/2024,104,3,53.9,Store C
3/14/2024,102,13,238.12,Store B
3/15/2024,101,6,94.25,Store C
3/16/2024,102,3,65.87,Store A
3/17/2024,103,4,77.35,Store C
3/18/2024,102,10,205.13,Store A
3/19/2024,105,2,44.15,Store A
3/20/2024,102,12,230.61,Store C
3/21/2024,104,11,274.29,Store A
3/22/2024,101,2,33.43,Store D
3/23/2024,103,8,155.03,Store D
3/24/2024,103,8,191.67,Store B
3/25/2024,102,10,214.59,Store C
3/26/2024,103,5,105.13,Store B
3/27/2024,102,1,22.17,Store D
3/28/2024,103,12,240.52,Store C
